"","artist","genres","image","popularity","followers","language","circle","new_image_path"
"31","Slank","['classic indonesian rock', 'indonesian alternative rock', 'indonesian blues', 'indonesian reggae', 'indonesian rock']","https://i.scdn.co/image/ab6761610000e5eba5d15944aab9b403980519e4",56,1945601,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a4768c41aa.png","slank.png"
"32","Chrisye","['indonesian city pop', 'indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebde4b65749982d5d0cd10d5e7",58,1881838,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a4606f54b2.png","chrisye.png"
"33","Padi","['classic indonesian rock']","https://i.scdn.co/image/ab6761610000e5ebafb89fa9e33991f0ed8ce59f",58,1815305,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a453651d48.png","padi.png"
"34","Hivi!","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb1322b0732dd62a483196d035",63,1671203,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a424567cfa.png","hivi!.png"
"35","Budi Doremi","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebc6abbb6d49403b516404f450",66,1639973,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a415d55e5d.png","budi_doremi.png"
"36","Ada Band","['indonesian pop', 'indonesian pop rock']","https://i.scdn.co/image/ab6761610000e5eb52172a6b7cab765489f9963f",59,1612146,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a4192f26e.png","ada_band.png"
"37","Isyana Sarasvati","['indonesian pop', 'indonesian r&b']","https://i.scdn.co/image/ab6761610000e5eb87dc30e540254e0976c4b478",54,1610449,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a434c16205.png","isyana_sarasvati.png"
"38","Nadin Amizah","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5ebda1079e4c8ddc52843abec12",67,1541429,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a42231bb5.png","nadin_amizah.png"
"39","Guyon Waton","['dangdut', 'javanese dangdut', 'lagu jawa']","https://i.scdn.co/image/ab6761610000e5ebc256ffff6f20f8de8e8f1fd6",67,1509759,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a4b4069cd.png","guyon_waton.png"
"40","Ari Lasso","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb4e1ed336c3ff93a95fa44e14",58,1477025,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a442487961.png","ari_lasso.png"
"41","Kotak","['classic indonesian rock', 'indonesian pop', 'indonesian rock']","https://i.scdn.co/image/ab6761610000e5ebc85b187ca066c2f60f37e47a",50,1475590,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a47bad276.png","kotak.png"
"42","Hanin Dhiya","['indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb5d79d394e189b6aec363ee6f",52,1440834,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a477c322d1.png","hanin_dhiya.png"
"43","Dewa","['classic indonesian rock', 'indonesian pop']","https://i.scdn.co/image/ab6761610000e5eb8c647da81b4d73ec0c2bb738",62,1439061,"id","C:\Users\aputr\AppData\Local\Temp\Rtmp2bUXoB\cropped22a448fa47f6.png","dewa.png"
